,3P,REB,STL,score
1,29.7,55,7,18
2,38.9,49,4,-12
3,36,47,8,2
4,22.5,51,6,-3
5,34.4,45,7,6
6,41.2,54,4,20
7,29,46,8,3
8,43.6,42,5,4
9,41.3,45,6,-1
10,29,40,9,-8
11,37.8,56,6,7
12,39.5,28,11,-8
13,33.3,42,11,-6
14,44.1,51,12,29
15,34.6,46,9,7
16,15.2,51,11,-12
17,28.1,41,9,-5
18,30.3,50,10,-8
19,32.5,43,11,18
20,35.7,42,8,-9
21,48.7,42,14,17
22,54.8,47,4,33
23,38.6,40,9,9
24,34.2,46,8,28
25,51.2,54,10,56
26,30.8,51,8,13
27,28.9,50,6,5
28,48.7,47,15,21
29,27.3,44,11,-9
30,38.5,37,13,-8
31,29.4,36,13,-13
32,33.3,47,8,16
33,34.1,55,8,7
34,38.7,38,8,-14
35,44.4,36,10,9
36,32.4,40,5,-9
37,40,33,10,13
38,46.7,53,12,21
39,37.5,43,13,21
40,43.8,48,7,27
41,35.3,37,5,-16
42,25,46,7,-2
43,30.6,41,10,-7
44,46.7,49,6,9
45,44.7,52,5,6
46,37.5,43,10,8
47,40,36,13,8
48,48,43,12,20
49,37.5,49,6,-4
50,32.5,52,11,8
51,41.4,53,10,32
52,35.1,43,11,14
53,38.2,38,8,5
54,34.6,42,10,7
55,42.1,48,7,-1
56,34.6,45,9,-11
57,44.8,41,9,3
58,41,47,8,8
